#汉字	Unicode
課	8AB2
肯	80AF
啃	5543
墾	58BE
懇	61C7
坑	5751
吭	542D
空	7A7A
恐	6050
孔	5B54
控	63A7
摳	6473
口	53E3
扣	6263
寇	5BC7
枯	67AF
哭	54ED
窟	7A9F
苦	82E6
酷	9177
庫	5EAB
褲	8932
誇	8A87
垮	57AE
挎	630E
跨	8DE8
胯	80EF
塊	584A
筷	7B77
儈	5108
快	5FEB
寬	5BEC
款	6B3E
匡	5321
筐	7B50
狂	72C2
框	6846
礦	7926
眶	7736
曠	66E0
况	51B5
虧	8667
盔	76D4
巋	5DCB
窺	7ABA
葵	8475
奎	594E
魁	9B41
傀	5080
饋	994B
愧	6127
潰	6F70
坤	5764
昆	6606
捆	6346
困	56F0
括	62EC
擴	64F4
廓	5ED3
闊	95CA
垃	5783
拉	62C9
喇	5587
蠟	881F
臘	81D8
辣	8FA3
啦	5566
萊	840A
來	4F86
賴	8CF4
藍	85CD
婪	5A6A
欄	6B04
攔	6514
籃	7C43
闌	95CC
蘭	862D
瀾	703E
讕	8B95
攬	652C
覽	89BD
懶	61F6
纜	7E9C
爛	721B
濫	6FEB
琅	7405
榔	6994
狼	72FC
廊	5ECA
郎	90CE
朗	6717
浪	6D6A
撈	6488
勞	52DE
牢	7262
老	8001
佬	4F6C
姥	59E5
酪	916A
烙	70D9
澇	6F87
勒	52D2
樂	6A02
雷	96F7
鐳	9433
蕾	857E
磊	78CA
累	7D2F
儡	5121
壘	58D8
擂	64C2
肋	808B
類	985E
泪	6CEA
棱	68F1
楞	695E
冷	51B7
厘	5398
梨	68A8
犁	7281
黎	9ECE
籬	7C6C
狸	72F8
離	96E2
灕	7055
理	7406
李	674E
裏	88CF
鯉	9BC9
禮	79AE
莉	8389
荔	8354
吏	540F
栗	6817
麗	9E97
厲	53B2
勵	52F5
礫	792B
歷	6B77
利	5229
傈	5088
例	4F8B
俐	4FD0
痢	75E2
立	7ACB
粒	7C92
瀝	701D
隷	96B7
力	529B
璃	7483
哩	54E9
倆	5006
聯	806F
蓮	84EE
連	9023
鐮	942E
廉	5EC9
憐	6190
漣	6F23
簾	7C3E
斂	6582
臉	81C9
鏈	93C8
戀	6200
煉	7149
練	7DF4
糧	7CE7
凉	51C9
梁	6881
粱	7CB1
良	826F
兩	5169
輛	8F1B
量	91CF
晾	667E
亮	4EAE
諒	8AD2
撩	64A9
聊	804A
僚	50DA
療	7642
燎	71CE
寥	5BE5
遼	907C
潦	6F66
了	4E86
撂	6482
鐐	9410
廖	5ED6
料	6599
列	5217
裂	88C2
烈	70C8
劣	52A3
獵	7375
琳	7433
林	6797
磷	78F7
霖	9716
臨	81E8
鄰	9130
鱗	9C57
淋	6DCB
凛	51DB
賃	8CC3
吝	541D
拎	62CE
玲	73B2
菱	83F1
零	96F6
齡	9F61
鈴	9234
伶	4F36
羚	7F9A
凌	51CC
靈	9748
陵	9675
嶺	5DBA
領	9818
另	53E6
令	4EE4
溜	6E9C
琉	7409
榴	69B4
硫	786B
餾	993E
留	7559
劉	5289
瘤	7624
流	6D41
柳	67F3
六	516D
龍	9F8D
聾	807E
嚨	56A8
籠	7C60
窿	7ABF
隆	9686
壟	58DF
攏	650F
隴	96B4
樓	6A13
婁	5A41
摟	645F
簍	7C0D
漏	6F0F
陋	964B
蘆	8606
盧	76E7
顱	9871
廬	5EEC
爐	7210
擄	64C4
滷	6EF7
虜	865C
魯	9B6F
麓	9E93
碌	788C
露	9732
路	8DEF
賂	8CC2
鹿	9E7F
潞	6F5E
禄	7984
録	9332
陸	9678
戮	622E
驢	9A62
吕	5415
鋁	92C1
侣	4FA3
旅	65C5
履	5C65
屢	5C62
縷	7E37
慮	616E
氯	6C2F
律	5F8B
率	7387
濾	6FFE
緑	7DD1
巒	5DD2
攣	6523
孿	5B7F
灤	7064
卵	5375
亂	4E82
掠	63A0
略	7565
掄	6384
輪	8F2A
倫	502B
侖	4F96
淪	6DEA
綸	7DB8
論	8AD6
蘿	863F
螺	87BA
羅	7F85
邏	908F
鑼	947C
籮	7C6E
騾	9A3E
裸	88F8
落	843D
洛	6D1B
駱	99F1
絡	7D61
媽	5ABD
麻	9EBB
瑪	746A
碼	78BC
螞	879E
馬	99AC
駡	99E1
嘛	561B
嗎	55CE
埋	57CB
買	8CB7
麥	9EA5
賣	8CE3
邁	9081
脉	8109
瞞	779E
饅	9945
蠻	883B
滿	6EFF
蔓	8513
曼	66FC
慢	6162
漫	6F2B
謾	8B3E
芒	8292
茫	832B
盲	76F2
氓	6C13
忙	5FD9
莽	83BD
猫	732B
茅	8305
錨	9328
毛	6BDB
矛	77DB
鉚	925A
卯	536F
茂	8302
冒	5192
帽	5E3D
貌	8C8C
貿	8CBF
麽	9EBD
玫	73AB
枚	679A
梅	6885
酶	9176
霉	9709
煤	7164
没	6CA1
眉	7709
媒	5A92
鎂	9382
每	6BCF
美	7F8E
昧	6627
寐	5BD0
妹	59B9
媚	5A9A
門	9580
悶	60B6
們	5011
萌	840C
蒙	8499
檬	6AAC
盟	76DF
錳	9333
猛	731B
夢	5922
孟	5B5F
眯	772F
醚	919A
靡	9761
糜	7CDC
迷	8FF7
謎	8B0E
彌	5F4C
米	7C73
秘	79D8
覓	8993
泌	6CCC
蜜	871C
密	5BC6
幂	5E42
棉	68C9
眠	7720
綿	7DBF
冕	5195
免	514D
勉	52C9
娩	5A29
緬	7DEC
面	9762
苗	82D7
描	63CF
瞄	7784
藐	85D0
秒	79D2
渺	6E3A
廟	5EDF
妙	5999
蔑	8511
滅	6EC5
民	6C11
抿	62BF
皿	76BF
敏	654F
憫	61AB
閩	95A9
明	660E
螟	879F
鳴	9CF4
銘	9298
名	540D
命	547D
謬	8B2C
摸	6478
摹	6479
蘑	8611
模	6A21
膜	819C
磨	78E8
摩	6469
魔	9B54
抹	62B9
末	672B
莫	83AB
墨	58A8
默	9ED8
沫	6CAB
漠	6F20
寞	5BDE
陌	964C
謀	8B00
牟	725F
某	67D0
拇	62C7
牡	7261
畝	755D
姆	59C6
母	6BCD
墓	5893
暮	66AE
幕	5E55
募	52DF
慕	6155
木	6728
目	76EE
睦	7766
牧	7267
穆	7A46
拿	62FF
哪	54EA
呐	5450
鈉	9209
那	90A3
娜	5A1C
納	7D0D
氖	6C16
乃	4E43
奶	5976
耐	8010
奈	5948
南	5357
男	7537
難	96E3
囊	56CA
撓	6493
腦	8166
惱	60F1
鬧	9B27
淖	6DD6
呢	5462
餒	9912
内	5185
嫩	5AE9
能	80FD
妮	59AE
霓	9713
倪	502A
泥	6CE5
尼	5C3C
擬	64EC
你	4F60
匿	533F
膩	81A9
逆	9006
溺	6EBA
蔫	852B
拈	62C8
年	5E74
碾	78BE
攆	6506
