#汉字	Unicode
耬	802C
耩	8029
耨	8028
耱	8031
耋	800B
耵	8035
聃	8043
聆	8046
聹	8079
聒	8052
聵	8075
聱	8071
覃	8983
頇	9807
頎	980E
頏	980F
頡	9821
頜	981C
潁	6F41
頦	9826
頷	9837
顎	984E
顓	9853
顳	9873
顢	9862
顙	9859
顥	9865
顬	986C
顰	9870
虍	864D
虔	8654
虬	866C
蟣	87E3
蠆	8806
虺	867A
虼	867C
虻	867B
蚨	86A8
蚍	868D
蚋	868B
蜆	8706
蚝	869D
蚧	86A7
蚣	86A3
蚪	86AA
蚓	8693
蚩	86A9
蚶	86B6
蛄	86C4
蚵	86B5
蠣	8823
蚰	86B0
蚺	86BA
蚱	86B1
蚯	86AF
蛉	86C9
蟶	87F6
蚴	86B4
蛩	86E9
蛺	86FA
蟯	87EF
蛭	86ED
螄	8784
蛐	86D0
蜓	8713
蛞	86DE
蠐	8810
蛟	86DF
蛘	86D8
蛑	86D1
蜃	8703
蜇	8707
蛸	86F8
蜈	8708
蜊	870A
蜍	870D
蜉	8709
蜣	8723
蜻	873B
蜞	871E
蜥	8725
蜮	872E
蜚	871A
蜾	873E
蟈	87C8
蜴	8734
蜱	8731
蜩	8729
蜷	8737
蜿	873F
螂	8782
蜢	8722
蝽	877D
蠑	8811
蝻	877B
蝠	8760
蝰	8770
蝌	874C
蝮	876E
螋	878B
蝓	8753
蝣	8763
螻	87BB
蝤	8764
蝙	8759
蝥	8765
螓	8793
螯	87AF
蟎	87CE
蟒	87D2
蟆	87C6
螈	8788
螅	8785
螭	87AD
螗	8797
螃	8783
螫	87AB
蟥	87E5
螬	87AC
螵	87B5
螳	87B3
蟋	87CB
蟓	87D3
螽	87BD
蟑	87D1
蟀	87C0
蟊	87CA
蟛	87DB
蟪	87EA
蟠	87E0
蟮	87EE
蠖	8816
蠓	8813
蟾	87FE
蠊	880A
蠛	881B
蠡	8821
蠹	8839
蠼	883C
缶	7F36
罌	7F4C
罄	7F44
罅	7F45
舐	8210
竺	7AFA
竽	7AFD
笈	7B08
篤	7BE4
笄	7B04
筧	7B67
笊	7B0A
笫	7B2B
笏	7B0F
筇	7B47
笸	7B38
笪	7B2A
笙	7B19
笮	7B2E
笱	7B31
笠	7B20
笥	7B25
笤	7B24
笳	7B33
籩	7C69
笞	7B1E
筘	7B58
篳	7BF3
筅	7B45
筵	7B75
筌	7B4C
筝	7B5D
筠	7B60
筮	7B6E
筻	7B7B
筢	7B62
筲	7B72
筱	7B71
箐	7B90
簀	7C00
篋	7BCB
箸	7BB8
箬	7BAC
箝	7B9D
籜	7C5C
箅	7B85
簞	7C1E
箜	7B9C
箢	7BA2
簫	7C2B
箴	7BB4
簣	7C23
篁	7BC1
篌	7BCC
篝	7BDD
篚	7BDA
篥	7BE5
篦	7BE6
篪	7BEA
簌	7C0C
篾	7BFE
篼	7BFC
簏	7C0F
籪	7C6A
簋	7C0B
簟	7C1F
簪	7C2A
簦	7C26
簸	7C38
籟	7C5F
籀	7C40
臾	81FE
舁	8201
舂	8202
舄	8204
臬	81EC
衄	8844
舡	8221
舢	8222
艤	8264
舭	822D
舯	822F
舨	8228
舫	822B
舸	8238
艫	826B
舳	8233
舴	8234
舾	823E
艄	8244
艉	8249
艋	824B
艏	824F
艚	825A
艟	825F
艨	8268
衾	887E
裊	88CA
袈	8888
裘	88D8
裟	88DF
襞	895E
羝	7F9D
羥	7FA5
羧	7FA7
羯	7FAF
羰	7FB0
羲	7FB2
籼	7C7C
敉	6549
粑	7C91
糲	7CF2
糶	7CF6
粞	7C9E
粢	7CA2
粲	7CB2
粼	7CBC
粽	7CBD
糝	7CDD
糇	7CC7
糌	7CCC
糍	7CCD
糈	7CC8
糅	7CC5
糗	7CD7
糨	7CE8
艮	826E
暨	66A8
羿	7FBF
翎	7FCE
翕	7FD5
翥	7FE5
翡	7FE1
翦	7FE6
翩	7FE9
翮	7FEE
翳	7FF3
糸	7CF8
縶	7E36
綦	7DA6
綮	7DAE
繇	7E47
纛	7E9B
麩	9EA9
麴	9EB4
赳	8D73
趄	8D84
趔	8D94
趑	8D91
趲	8DB2
赧	8D67
赭	8D6D
豇	8C47
豉	8C49
酊	914A
酐	9150
酎	914E
酏	914F
酤	9164
酢	9162
酡	9161
酰	9170
酩	9169
酯	916F
釅	91C5
釃	91C3
酲	9172
酴	9174
酹	9179
醌	918C
醅	9185
醐	9190
醍	918D
醑	9191
醢	91A2
醣	91A3
醪	91AA
醭	91AD
醮	91AE
醯	91AF
醵	91B5
醴	91B4
醺	91BA
豕	8C55
鹺	9E7A
躉	8E89
跫	8DEB
踅	8E05
蹙	8E59
蹩	8E69
趵	8DB5
趿	8DBF
趼	8DBC
趺	8DBA
蹌	8E4C
跖	8DD6
跗	8DD7
跚	8DDA
躒	8E92
跎	8DCE
跏	8DCF
跛	8DDB
跆	8DC6
跬	8DEC
蹺	8E7A
蹕	8E55
跣	8DE3
躚	8E9A
躋	8E8B
跤	8DE4
踉	8E09
跽	8DFD
踔	8E14
踝	8E1D
踟	8E1F
躓	8E93
踮	8E2E
踣	8E23
躑	8E91
踺	8E3A
蹀	8E40
踹	8E39
踵	8E35
踽	8E3D
踱	8E31
蹉	8E49
蹁	8E41
蹂	8E42
躡	8EA1
蹣	8E63
蹊	8E4A
蹰	8E70
蹶	8E76
蹼	8E7C
蹯	8E6F
蹴	8E74
躅	8E85
躪	8EAA
躔	8E94
躐	8E90
躦	8EA6
躞	8E9E
豸	8C78
貂	8C82
貊	8C8A
貅	8C85
貘	8C98
貔	8C94
斛	659B
觖	89D6
觴	89F4
觚	89DA
觜	89DC
觥	89E5
觫	89EB
觶	89F6
訾	8A3E
謦	8B26
靚	975A
雩	96E9
靂	9742
雯	96EF
霆	9706
霽	973D
霈	9708
霏	970F
霎	970E
霪	972A
靄	9744
霰	9730
霾	973E
齔	9F54
齟	9F5F
齙	9F59
齠	9F60
齜	9F5C
齦	9F66
齬	9F6C
齪	9F6A
齷	9F77
黽	9EFD
黿	9EFF
鼉	9F09
隹	96B9
隼	96BC
隽	96BD
雎	96CE
雒	96D2
瞿	77BF
讎	8B8E
銎	928E
鑾	947E
鋈	92C8
鏨	93E8
鍪	936A
鏊	93CA
鎏	938F
鐾	943E
鑫	946B
魷	9B77
魴	9B74
鮁	9B81
鮃	9B83
鮎	9B8E
鱸	9C78
穌	7A4C
鮒	9B92
鱟	9C5F
鮐	9B90
鮭	9BAD
鮚	9B9A
鮪	9BAA
鮞	9B9E
鱭	9C6D
鮫	9BAB
鮝	9B9D
鱘	9C58
鯁	9BC1
鱺	9C7A
鰱	9C31
鰹	9C39
鰣	9C23
鰷	9C37
鯀	9BC0
鯊	9BCA
鯇	9BC7
鯽	9BFD
鯖	9BD6
鯪	9BEA
鯫	9BEB
鯡	9BE1
鯤	9BE4
鯧	9BE7
鯝	9BDD
鯢	9BE2
鯰	9BF0
鯛	9BDB
鯴	9BF4
鯔	9BD4
鱝	9C5D
鰈	9C08
鰐	9C10
鰍	9C0D
鰒	9C12
鰉	9C09
鯿	9BFF
鰠	9C20
鰲	9C32
鰭	9C2D
鰨	9C28
鰥	9C25
鰩	9C29
鰳	9C33
鰾	9C3E
鱈	9C48
鰻	9C3B
鰵	9C35
鱅	9C45
鱖	9C56
鱔	9C54
鱒	9C52
鱧	9C67
靼	977C
鞅	9785
韃	97C3
鞽	97BD
鞔	9794
韉	97C9
鞫	97AB
鞣	97A3
鞲	97B2
鞴	97B4
骱	9AB1
骰	9AB0
骷	9AB7
鶻	9DBB
骶	9AB6
骺	9ABA
骼	9ABC
髁	9AC1
髀	9AC0
髏	9ACF
髂	9AC2
髖	9AD6
髕	9AD5
髑	9AD1
魅	9B45
魃	9B43
魘	9B58
魎	9B4E
魈	9B48
魍	9B4D
魑	9B51
饗	9957
饜	995C
餮	992E
饕	9955
饔	9954
髟	9ADF
髡	9AE1
髦	9AE6
髯	9AEF
髫	9AEB
髻	9AFB
髭	9AED
髹	9AF9
鬈	9B08
鬏	9B0F
鬢	9B22
鬟	9B1F
鬣	9B23
么	4E48
麾	9EBE
縻	7E3B
麂	9E82
麇	9E87
麈	9E88
麋	9E8B
麒	9E92
鏖	93D6
麝	9E9D
麟	9E9F
黛	9EDB
黜	9EDC
黝	9EDD
黠	9EE0
黟	9EDF
黢	9EE2
黷	9EF7
黧	9EE7
黥	9EE5
黲	9EF2
黯	9EEF
鼢	9F22
鼬	9F2C
鼯	9F2F
鼹	9F39
鼷	9F37
鼽	9F3D
鼾	9F3E
齄	9F44
襬	896C
闆	95C6
錶	9336
彆	5F46
蔔	8514
纔	7E94
厂	5382
冲	51B2
丑	4E11
齣	9F63
噹	5679
党	515A
淀	6DC0
鼕	9F15
斗	6597
噁	5641
髮	9AEE
范	8303
丰	4E30
複	8907
干	5E72
穀	7A40
颳	98B3
广	5E7F
閤	95A4
鬍	9B0D
划	5212
迴	8FF4
彙	5F59
穫	7A6B
飢	98E2
几	51E0
傢	50A2
价	4EF7
荐	8350
薑	8591
儘	5118
据	636E
捲	6372
剋	524B
夸	5938
睏	774F
蜡	8721
腊	814A
纍	7E8D
里	91CC
曆	66C6
帘	5E18
瞭	77AD
鹵	9E75
囉	56C9
黴	9EF4
濛	6FDB
懞	61DE
矇	77C7
瀰	7030
麵	9EB5
衊	884A
闢	95E2
苹	82F9
凭	51ED
扑	6251
仆	4EC6
朴	6734
韆	97C6
籤	7C64
縴	7E34
鞦	97A6
麯	9EAF
确	786E
舍	820D
术	672F
松	677E
囌	56CC
台	53F0
颱	98B1
檯	6AAF
罎	7F4E
涂	6D82
糰	7CF0
万	4E07
係	4FC2
繫	7E6B
鹹	9E79
嚮	56AE
鬚	9B1A
葯	846F
叶	53F6
郁	90C1
禦	79A6
籲	7C72
愿	613F
云	4E91
髒	9AD2
症	75C7
隻	96BB
只	53EA
緻	7DFB
製	88FD
种	79CD
硃	7843
筑	7B51
准	51C6
